instant,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
76,1,0,3,0,4,1,1,424,2320,2744
77,1,0,3,0,5,1,1,884,2355,3239
78,1,0,3,0,6,0,1,1424,1693,3117
79,1,0,3,0,0,0,1,1047,1424,2471
80,2,0,3,0,1,1,2,401,1676,2077
81,2,0,3,0,2,1,1,460,2243,2703
82,2,0,3,0,3,1,2,203,1918,2121
83,2,0,3,0,4,1,2,166,1699,1865
84,2,0,3,0,5,1,1,300,1910,2210
85,2,0,3,0,6,0,1,981,1515,2496
86,2,0,3,0,0,0,2,472,1221,1693
87,2,0,3,0,1,1,1,222,1806,2028
88,2,0,3,0,2,1,1,317,2108,2425
89,2,0,3,0,3,1,2,168,1368,1536
90,2,0,3,0,4,1,3,179,1506,1685
91,2,0,4,0,5,1,2,307,1920,2227
92,2,0,4,0,6,0,2,898,1354,2252
93,2,0,4,0,0,0,1,1651,1598,3249
94,2,0,4,0,1,1,1,734,2381,3115
95,2,0,4,0,2,1,2,167,1628,1795
96,2,0,4,0,3,1,1,413,2395,2808
97,2,0,4,0,4,1,1,571,2570,3141
98,2,0,4,0,5,1,2,172,1299,1471
99,2,0,4,0,6,0,2,879,1576,2455
100,2,0,4,0,0,0,2,1188,1707,2895
101,2,0,4,0,1,1,2,855,2493,3348
102,2,0,4,0,2,1,2,257,1777,2034
103,2,0,4,0,3,1,2,209,1953,2162
104,2,0,4,0,4,1,1,529,2738,3267
105,2,0,4,1,5,0,1,642,2484,3126
106,2,0,4,0,6,0,3,121,674,795
107,2,0,4,0,0,0,1,1558,2186,3744
108,2,0,4,0,1,1,1,669,2760,3429
109,2,0,4,0,2,1,2,409,2795,3204
110,2,0,4,0,3,1,1,613,3331,3944
111,2,0,4,0,4,1,1,745,3444,4189
112,2,0,4,0,5,1,2,177,1506,1683
113,2,0,4,0,6,0,2,1462,2574,4036
114,2,0,4,0,0,0,2,1710,2481,4191
115,2,0,4,0,1,1,1,773,3300,4073
116,2,0,4,0,2,1,1,678,3722,4400
117,2,0,4,0,3,1,2,547,3325,3872
118,2,0,4,0,4,1,2,569,3489,4058
119,2,0,4,0,5,1,1,878,3717,4595
120,2,0,4,0,6,0,1,1965,3347,5312
121,2,0,5,0,0,0,2,1138,2213,3351
122,2,0,5,0,1,1,2,847,3554,4401
123,2,0,5,0,2,1,2,603,3848,4451
124,2,0,5,0,3,1,2,255,2378,2633
125,2,0,5,0,4,1,1,614,3819,4433
126,2,0,5,0,5,1,1,894,3714,4608
127,2,0,5,0,6,0,1,1612,3102,4714
128,2,0,5,0,0,0,1,1401,2932,4333
129,2,0,5,0,1,1,1,664,3698,4362
130,2,0,5,0,2,1,1,694,4109,4803
131,2,0,5,0,3,1,1,550,3632,4182
132,2,0,5,0,4,1,1,695,4169,4864
133,2,0,5,0,5,1,2,692,3413,4105
134,2,0,5,0,6,0,2,902,2507,3409
135,2,0,5,0,0,0,2,1582,2971,4553
136,2,0,5,0,1,1,1,773,3185,3958
137,2,0,5,0,2,1,2,678,3445,4123
138,2,0,5,0,3,1,2,536,3319,3855
139,2,0,5,0,4,1,2,735,3840,4575
140,2,0,5,0,5,1,1,909,4008,4917
141,2,0,5,0,6,0,1,2258,3547,5805
142,2,0,5,0,0,0,1,1576,3084,4660
143,2,0,5,0,1,1,2,836,3438,4274
144,2,0,5,0,2,1,2,659,3833,4492
145,2,0,5,0,3,1,1,740,4238,4978
146,2,0,5,0,4,1,1,758,3919,4677
147,2,0,5,0,5,1,1,871,3808,4679
148,2,0,5,0,6,0,1,2001,2757,4758
149,2,0,5,0,0,0,1,2355,2433,4788
150,2,0,5,1,1,0,1,1549,2549,4098
151,2,0,5,0,2,1,1,673,3309,3982
152,2,0,6,0,3,1,2,513,3461,3974
153,2,0,6,0,4,1,1,736,4232,4968
154,2,0,6,0,5,1,1,898,4414,5312
155,2,0,6,0,6,0,1,1869,3473,5342
156,2,0,6,0,0,0,2,1685,3221,4906
157,2,0,6,0,1,1,1,673,3875,4548
158,2,0,6,0,2,1,1,763,4070,4833
159,2,0,6,0,3,1,1,676,3725,4401
160,2,0,6,0,4,1,2,563,3352,3915
161,2,0,6,0,5,1,1,815,3771,4586
162,2,0,6,0,6,0,1,1729,3237,4966
163,2,0,6,0,0,0,1,1467,2993,4460
164,2,0,6,0,1,1,1,863,4157,5020
165,2,0,6,0,2,1,1,727,4164,4891
166,2,0,6,0,3,1,1,769,4411,5180
167,2,0,6,0,4,1,2,545,3222,3767
168,2,0,6,0,5,1,1,863,3981,4844
169,2,0,6,0,6,0,1,1807,3312,5119
170,2,0,6,0,0,0,2,1639,3105,4744
171,2,0,6,0,1,1,2,699,3311,4010
172,3,0,6,0,2,1,2,774,4061,4835
173,3,0,6,0,3,1,1,661,3846,4507
174,3,0,6,0,4,1,2,746,4044,4790
175,3,0,6,0,5,1,1,969,4022,4991
176,3,0,6,0,6,0,1,1782,3420,5202
177,3,0,6,0,0,0,1,1920,3385,5305
178,3,0,6,0,1,1,2,854,3854,4708
179,3,0,6,0,2,1,1,732,3916,4648
180,3,0,6,0,3,1,1,848,4377,5225
181,3,0,6,0,4,1,1,1027,4488,5515
182,3,0,7,0,5,1,1,1246,4116,5362
183,3,0,7,0,6,0,1,2204,2915,5119
184,3,0,7,0,0,0,2,2282,2367,4649
185,3,0,7,1,1,0,2,3065,2978,6043
186,3,0,7,0,2,1,1,1031,3634,4665
187,3,0,7,0,3,1,1,784,3845,4629
188,3,0,7,0,4,1,1,754,3838,4592
189,3,0,7,0,5,1,2,692,3348,4040
190,3,0,7,0,6,0,1,1988,3348,5336
191,3,0,7,0,0,0,1,1743,3138,4881
192,3,0,7,0,1,1,1,723,3363,4086
193,3,0,7,0,2,1,1,662,3596,4258
194,3,0,7,0,3,1,1,748,3594,4342
195,3,0,7,0,4,1,1,888,4196,5084
196,3,0,7,0,5,1,1,1318,4220,5538
197,3,0,7,0,6,0,1,2418,3505,5923
198,3,0,7,0,0,0,1,2006,3296,5302
199,3,0,7,0,1,1,1,841,3617,4458
200,3,0,7,0,2,1,1,752,3789,4541
201,3,0,7,0,3,1,1,644,3688,4332
202,3,0,7,0,4,1,2,632,3152,3784
203,3,0,7,0,5,1,1,562,2825,3387
204,3,0,7,0,6,0,1,987,2298,3285
205,3,0,7,0,0,0,1,1050,2556,3606
206,3,0,7,0,1,1,1,568,3272,3840
207,3,0,7,0,2,1,1,750,3840,4590
208,3,0,7,0,3,1,1,755,3901,4656
209,3,0,7,0,4,1,1,606,3784,4390
210,3,0,7,0,5,1,1,670,3176,3846
211,3,0,7,0,6,0,1,1559,2916,4475
212,3,0,7,0,0,0,1,1524,2778,4302
213,3,0,8,0,1,1,1,729,3537,4266
214,3,0,8,0,2,1,1,801,4044,4845
215,3,0,8,0,3,1,2,467,3107,3574
216,3,0,8,0,4,1,2,799,3777,4576
217,3,0,8,0,5,1,1,1023,3843,4866
218,3,0,8,0,6,0,2,1521,2773,4294
219,3,0,8,0,0,0,1,1298,2487,3785
220,3,0,8,0,1,1,1,846,3480,4326
221,3,0,8,0,2,1,1,907,3695,4602
222,3,0,8,0,3,1,1,884,3896,4780
223,3,0,8,0,4,1,1,812,3980,4792
224,3,0,8,0,5,1,1,1051,3854,4905
225,3,0,8,0,6,0,2,1504,2646,4150
226,3,0,8,0,0,0,2,1338,2482,3820
227,3,0,8,0,1,1,1,775,3563,4338
228,3,0,8,0,2,1,1,721,4004,4725
229,3,0,8,0,3,1,1,668,4026,4694
230,3,0,8,0,4,1,1,639,3166,3805
231,3,0,8,0,5,1,2,797,3356,4153
232,3,0,8,0,6,0,1,1914,3277,5191
233,3,0,8,0,0,0,1,1249,2624,3873
234,3,0,8,0,1,1,1,833,3925,4758
235,3,0,8,0,2,1,1,1281,4614,5895
236,3,0,8,0,3,1,1,949,4181,5130
237,3,0,8,0,4,1,2,435,3107,3542
238,3,0,8,0,5,1,1,768,3893,4661
239,3,0,8,0,6,0,2,226,889,1115
240,3,0,8,0,0,0,1,1415,2919,4334
241,3,0,8,0,1,1,1,729,3905,4634
242,3,0,8,0,2,1,1,775,4429,5204
243,3,0,8,0,3,1,1,688,4370,5058
244,3,0,9,0,4,1,1,783,4332,5115
245,3,0,9,0,5,1,2,875,3852,4727
246,3,0,9,0,6,0,1,1935,2549,4484
247,3,0,9,0,0,0,1,2521,2419,4940
248,3,0,9,1,1,0,2,1236,2115,3351
249,3,0,9,0,2,1,3,204,2506,2710
250,3,0,9,0,3,1,3,118,1878,1996
251,3,0,9,0,4,1,3,153,1689,1842
252,3,0,9,0,5,1,2,417,3127,3544
253,3,0,9,0,6,0,1,1750,3595,5345
254,3,0,9,0,0,0,1,1633,3413,5046
255,3,0,9,0,1,1,1,690,4023,4713
256,3,0,9,0,2,1,1,701,4062,4763
257,3,0,9,0,3,1,1,647,4138,4785
258,3,0,9,0,4,1,2,428,3231,3659
259,3,0,9,0,5,1,2,742,4018,4760
260,3,0,9,0,6,0,2,1434,3077,4511
261,3,0,9,0,0,0,1,1353,2921,4274
262,3,0,9,0,1,1,2,691,3848,4539
263,3,0,9,0,2,1,2,438,3203,3641
264,3,0,9,0,3,1,2,539,3813,4352
265,3,0,9,0,4,1,2,555,4240,4795
266,4,0,9,0,5,1,2,258,2137,2395
267,4,0,9,0,6,0,2,1776,3647,5423
268,4,0,9,0,0,0,2,1544,3466,5010
269,4,0,9,0,1,1,2,684,3946,4630
270,4,0,9,0,2,1,2,477,3643,4120
271,4,0,9,0,3,1,2,480,3427,3907
272,4,0,9,0,4,1,1,653,4186,4839
273,4,0,9,0,5,1,1,830,4372,5202
274,4,0,10,0,6,0,2,480,1949,2429
275,4,0,10,0,0,0,2,616,2302,2918
276,4,0,10,0,1,1,2,330,3240,3570
277,4,0,10,0,2,1,1,486,3970,4456
278,4,0,10,0,3,1,1,559,4267,4826
279,4,0,10,0,4,1,1,639,4126,4765
280,4,0,10,0,5,1,1,949,4036,4985
281,4,0,10,0,6,0,1,2235,3174,5409
282,4,0,10,0,0,0,1,2397,3114,5511
283,4,0,10,1,1,0,1,1514,3603,5117
284,4,0,10,0,2,1,2,667,3896,4563
285,4,0,10,0,3,1,3,217,2199,2416
286,4,0,10,0,4,1,2,290,2623,2913
287,4,0,10,0,5,1,2,529,3115,3644
288,4,0,10,0,6,0,1,1899,3318,5217
289,4,0,10,0,0,0,1,1748,3293,5041
290,4,0,10,0,1,1,1,713,3857,4570
291,4,0,10,0,2,1,2,637,4111,4748
292,4,0,10,0,3,1,3,254,2170,2424
293,4,0,10,0,4,1,1,471,3724,4195
294,4,0,10,0,5,1,1,676,3628,4304
295,4,0,10,0,6,0,1,1499,2809,4308
296,4,0,10,0,0,0,1,1619,2762,4381
297,4,0,10,0,1,1,1,699,3488,4187
298,4,0,10,0,2,1,1,695,3992,4687
299,4,0,10,0,3,1,2,404,3490,3894
300,4,0,10,0,4,1,2,240,2419,2659
301,4,0,10,0,5,1,2,456,3291,3747
302,4,0,10,0,6,0,3,57,570,627
303,4,0,10,0,0,0,1,885,2446,3331
304,4,0,10,0,1,1,1,362,3307,3669
305,4,0,11,0,2,1,1,410,3658,4068
306,4,0,11,0,3,1,1,370,3816,4186
307,4,0,11,0,4,1,1,318,3656,3974
308,4,0,11,0,5,1,2,470,3576,4046
309,4,0,11,0,6,0,1,1156,2770,3926
310,4,0,11,0,0,0,1,952,2697,3649
311,4,0,11,0,1,1,1,373,3662,4035
312,4,0,11,0,2,1,1,376,3829,4205
313,4,0,11,0,3,1,1,305,3804,4109
314,4,0,11,0,4,1,2,190,2743,2933
315,4,0,11,1,5,0,1,440,2928,3368
316,4,0,11,0,6,0,1,1275,2792,4067
317,4,0,11,0,0,0,1,1004,2713,3717
318,4,0,11,0,1,1,1,595,3891,4486
319,4,0,11,0,2,1,2,449,3746,4195
320,4,0,11,0,3,1,3,145,1672,1817
321,4,0,11,0,4,1,2,139,2914,3053
322,4,0,11,0,5,1,1,245,3147,3392
323,4,0,11,0,6,0,1,943,2720,3663
324,4,0,11,0,0,0,2,787,2733,3520
325,4,0,11,0,1,1,3,220,2545,2765
326,4,0,11,0,2,1,3,69,1538,1607
327,4,0,11,0,3,1,2,112,2454,2566
328,4,0,11,1,4,0,1,560,935,1495
329,4,0,11,0,5,1,1,1095,1697,2792
330,4,0,11,0,6,0,1,1249,1819,3068
331,4,0,11,0,0,0,1,810,2261,3071
332,4,0,11,0,1,1,1,253,3614,3867
333,4,0,11,0,2,1,2,96,2818,2914
334,4,0,11,0,3,1,1,188,3425,3613
335,4,0,12,0,4,1,1,182,3545,3727
336,4,0,12,0,5,1,1,268,3672,3940
337,4,0,12,0,6,0,1,706,2908,3614
338,4,0,12,0,0,0,1,634,2851,3485
339,4,0,12,0,1,1,2,233,3578,3811
340,4,0,12,0,2,1,3,126,2468,2594
341,4,0,12,0,3,1,3,50,655,705
342,4,0,12,0,4,1,1,150,3172,3322
343,4,0,12,0,5,1,1,261,3359,3620
344,4,0,12,0,6,0,1,502,2688,3190
345,4,0,12,0,0,0,1,377,2366,2743
346,4,0,12,0,1,1,1,143,3167,3310
347,4,0,12,0,2,1,1,155,3368,3523
348,4,0,12,0,3,1,2,178,3562,3740
349,4,0,12,0,4,1,2,181,3528,3709
350,4,0,12,0,5,1,2,178,3399,3577
351,4,0,12,0,6,0,2,275,2464,2739
352,4,0,12,0,0,0,1,220,2211,2431
353,4,0,12,0,1,1,1,260,3143,3403
354,4,0,12,0,2,1,2,216,3534,3750
355,1,0,12,0,3,1,2,107,2553,2660
356,1,0,12,0,4,1,2,227,2841,3068
357,1,0,12,0,5,1,1,163,2046,2209
358,1,0,12,0,6,0,1,155,856,1011
359,1,0,12,0,0,0,1,303,451,754
360,1,0,12,1,1,0,1,430,887,1317
361,1,0,12,0,2,1,2,103,1059,1162
362,1,0,12,0,3,1,1,255,2047,2302
363,1,0,12,0,4,1,1,254,2169,2423
364,1,0,12,0,5,1,1,491,2508,2999
365,1,0,12,0,6,0,1,665,1820,2485
366,1,1,1,0,0,0,1,686,1608,2294
367,1,1,1,1,1,0,1,244,1707,1951
368,1,1,1,0,2,1,1,89,2147,2236
369,1,1,1,0,3,1,2,95,2273,2368
370,1,1,1,0,4,1,1,140,3132,3272
371,1,1,1,0,5,1,1,307,3791,4098
372,1,1,1,0,6,0,1,1070,3451,4521
373,1,1,1,0,0,0,1,599,2826,3425
374,1,1,1,0,1,1,2,106,2270,2376
375,1,1,1,0,2,1,1,173,3425,3598
376,1,1,1,0,3,1,2,92,2085,2177
377,1,1,1,0,4,1,2,269,3828,4097
378,1,1,1,0,5,1,1,174,3040,3214
379,1,1,1,0,6,0,1,333,2160,2493
380,1,1,1,0,0,0,1,284,2027,2311
381,1,1,1,1,1,0,1,217,2081,2298
382,1,1,1,0,2,1,2,127,2808,2935
383,1,1,1,0,3,1,1,109,3267,3376
384,1,1,1,0,4,1,1,130,3162,3292
385,1,1,1,0,5,1,2,115,3048,3163
386,1,1,1,0,6,0,2,67,1234,1301
387,1,1,1,0,0,0,2,196,1781,1977
388,1,1,1,0,1,1,2,145,2287,2432
389,1,1,1,0,2,1,1,439,3900,4339
390,1,1,1,0,3,1,1,467,3803,4270
391,1,1,1,0,4,1,2,244,3831,4075
392,1,1,1,0,5,1,2,269,3187,3456
393,1,1,1,0,6,0,1,775,3248,4023
394,1,1,1,0,0,0,1,558,2685,3243
395,1,1,1,0,1,1,1,126,3498,3624
396,1,1,1,0,2,1,1,324,4185,4509
397,1,1,2,0,3,1,1,304,4275,4579
398,1,1,2,0,4,1,2,190,3571,3761
399,1,1,2,0,5,1,1,310,3841,4151
400,1,1,2,0,6,0,2,384,2448,2832
401,1,1,2,0,0,0,2,318,2629,2947
402,1,1,2,0,1,1,1,206,3578,3784
403,1,1,2,0,2,1,1,199,4176,4375
404,1,1,2,0,3,1,2,109,2693,2802
405,1,1,2,0,4,1,1,163,3667,3830
406,1,1,2,0,5,1,2,227,3604,3831
407,1,1,2,0,6,0,3,192,1977,2169
408,1,1,2,0,0,0,1,73,1456,1529
409,1,1,2,0,1,1,1,94,3328,3422
410,1,1,2,0,2,1,2,135,3787,3922
411,1,1,2,0,3,1,1,141,4028,4169
412,1,1,2,0,4,1,2,74,2931,3005
413,1,1,2,0,5,1,1,349,3805,4154
414,1,1,2,0,6,0,1,1435,2883,4318
415,1,1,2,0,0,0,2,618,2071,2689
416,1,1,2,1,1,0,1,502,2627,3129
417,1,1,2,0,2,1,1,163,3614,3777
418,1,1,2,0,3,1,1,394,4379,4773
419,1,1,2,0,4,1,1,516,4546,5062
420,1,1,2,0,5,1,2,246,3241,3487
421,1,1,2,0,6,0,1,317,2415,2732
422,1,1,2,0,0,0,1,515,2874,3389
423,1,1,2,0,1,1,1,253,4069,4322
424,1,1,2,0,2,1,1,229,4134,4363
425,1,1,2,0,3,1,2,65,1769,1834
426,1,1,3,0,4,1,1,325,4665,4990
427,1,1,3,0,5,1,2,246,2948,3194
428,1,1,3,0,6,0,2,956,3110,4066
429,1,1,3,0,0,0,1,710,2713,3423
430,1,1,3,0,1,1,1,203,3130,3333
431,1,1,3,0,2,1,1,221,3735,3956
432,1,1,3,0,3,1,1,432,4484,4916
433,1,1,3,0,4,1,1,486,4896,5382
434,1,1,3,0,5,1,2,447,4122,4569
435,1,1,3,0,6,0,1,968,3150,4118
436,1,1,3,0,0,0,1,1658,3253,4911
437,1,1,3,0,1,1,1,838,4460,5298
438,1,1,3,0,2,1,1,762,5085,5847
439,1,1,3,0,3,1,1,997,5315,6312
440,1,1,3,0,4,1,1,1005,5187,6192
441,1,1,3,0,5,1,2,548,3830,4378
442,1,1,3,0,6,0,2,3155,4681,7836
443,1,1,3,0,0,0,2,2207,3685,5892
444,1,1,3,0,1,1,1,982,5171,6153
445,1,1,3,0,2,1,1,1051,5042,6093
446,2,1,3,0,3,1,2,1122,5108,6230
447,2,1,3,0,4,1,1,1334,5537,6871
448,2,1,3,0,5,1,2,2469,5893,8362
449,2,1,3,0,6,0,2,1033,2339,3372
450,2,1,3,0,0,0,2,1532,3464,4996
451,2,1,3,0,1,1,1,795,4763,5558
452,2,1,3,0,2,1,1,531,4571,5102
453,2,1,3,0,3,1,1,674,5024,5698
454,2,1,3,0,4,1,1,834,5299,6133
455,2,1,3,0,5,1,2,796,4663,5459
456,2,1,3,0,6,0,2,2301,3934,6235
457,2,1,4,0,0,0,2,2347,3694,6041
458,2,1,4,0,1,1,1,1208,4728,5936
459,2,1,4,0,2,1,1,1348,5424,6772
460,2,1,4,0,3,1,1,1058,5378,6436
461,2,1,4,0,4,1,1,1192,5265,6457
462,2,1,4,0,5,1,1,1807,4653,6460
463,2,1,4,0,6,0,1,3252,3605,6857
464,2,1,4,0,0,0,1,2230,2939,5169
465,2,1,4,0,1,1,1,905,4680,5585
466,2,1,4,0,2,1,1,819,5099,5918
467,2,1,4,0,3,1,1,482,4380,4862
468,2,1,4,0,4,1,1,663,4746,5409
469,2,1,4,0,5,1,1,1252,5146,6398
470,2,1,4,0,6,0,1,2795,4665,7460
471,2,1,4,0,0,0,1,2846,4286,7132
472,2,1,4,1,1,0,1,1198,5172,6370
473,2,1,4,0,2,1,1,989,5702,6691
474,2,1,4,0,3,1,2,347,4020,4367
475,2,1,4,0,4,1,1,846,5719,6565
476,2,1,4,0,5,1,1,1340,5950,7290
477,2,1,4,0,6,0,1,2541,4083,6624
478,2,1,4,0,0,0,3,120,907,1027
479,2,1,4,0,1,1,2,195,3019,3214
480,2,1,4,0,2,1,1,518,5115,5633
481,2,1,4,0,3,1,1,655,5541,6196
482,2,1,4,0,4,1,2,475,4551,5026
483,2,1,4,0,5,1,1,1014,5219,6233
484,2,1,4,0,6,0,2,1120,3100,4220
485,2,1,4,0,0,0,1,2229,4075,6304
486,2,1,4,0,1,1,2,665,4907,5572
487,2,1,5,0,2,1,2,653,5087,5740
488,2,1,5,0,3,1,1,667,5502,6169
489,2,1,5,0,4,1,2,764,5657,6421
490,2,1,5,0,5,1,1,1069,5227,6296
491,2,1,5,0,6,0,2,2496,4387,6883
492,2,1,5,0,0,0,2,2135,4224,6359
493,2,1,5,0,1,1,2,1008,5265,6273
494,2,1,5,0,2,1,2,738,4990,5728
495,2,1,5,0,3,1,2,620,4097,4717
496,2,1,5,0,4,1,1,1026,5546,6572
497,2,1,5,0,5,1,1,1319,5711,7030
498,2,1,5,0,6,0,1,2622,4807,7429
499,2,1,5,0,0,0,1,2172,3946,6118
500,2,1,5,0,1,1,2,342,2501,2843
501,2,1,5,0,2,1,2,625,4490,5115
502,2,1,5,0,3,1,1,991,6433,7424
503,2,1,5,0,4,1,1,1242,6142,7384
504,2,1,5,0,5,1,1,1521,6118,7639
505,2,1,5,0,6,0,1,3410,4884,8294
506,2,1,5,0,0,0,1,2704,4425,7129
507,2,1,5,0,1,1,2,630,3729,4359
508,2,1,5,0,2,1,2,819,5254,6073
509,2,1,5,0,3,1,2,766,4494,5260
510,2,1,5,0,4,1,1,1059,5711,6770
511,2,1,5,0,5,1,1,1417,5317,6734
512,2,1,5,0,6,0,1,2855,3681,6536
513,2,1,5,0,0,0,1,3283,3308,6591
514,2,1,5,1,1,0,1,2557,3486,6043
515,2,1,5,0,2,1,1,880,4863,5743
516,2,1,5,0,3,1,2,745,6110,6855
517,2,1,5,0,4,1,1,1100,6238,7338
518,2,1,6,0,5,1,2,533,3594,4127
519,2,1,6,0,6,0,1,2795,5325,8120
520,2,1,6,0,0,0,1,2494,5147,7641
521,2,1,6,0,1,1,1,1071,5927,6998
522,2,1,6,0,2,1,2,968,6033,7001
523,2,1,6,0,3,1,1,1027,6028,7055
524,2,1,6,0,4,1,1,1038,6456,7494
525,2,1,6,0,5,1,1,1488,6248,7736
526,2,1,6,0,6,0,1,2708,4790,7498
527,2,1,6,0,0,0,1,2224,4374,6598
528,2,1,6,0,1,1,2,1017,5647,6664
529,2,1,6,0,2,1,2,477,4495,4972
530,2,1,6,0,3,1,1,1173,6248,7421
531,2,1,6,0,4,1,1,1180,6183,7363
532,2,1,6,0,5,1,1,1563,6102,7665
533,2,1,6,0,6,0,1,2963,4739,7702
534,2,1,6,0,0,0,1,2634,4344,6978
535,2,1,6,0,1,1,2,653,4446,5099
536,2,1,6,0,2,1,1,968,5857,6825
537,2,1,6,0,3,1,1,872,5339,6211
538,3,1,6,0,4,1,1,778,5127,5905
539,3,1,6,0,5,1,1,964,4859,5823
540,3,1,6,0,6,0,1,2657,4801,7458
541,3,1,6,0,0,0,1,2551,4340,6891
542,3,1,6,0,1,1,1,1139,5640,6779
543,3,1,6,0,2,1,1,1077,6365,7442
544,3,1,6,0,3,1,1,1077,6258,7335
545,3,1,6,0,4,1,1,921,5958,6879
546,3,1,6,0,5,1,1,829,4634,5463
547,3,1,6,0,6,0,1,1455,4232,5687
548,3,1,7,0,0,0,1,1421,4110,5531
549,3,1,7,0,1,1,1,904,5323,6227
550,3,1,7,0,2,1,1,1052,5608,6660
551,3,1,7,1,3,0,1,2562,4841,7403
552,3,1,7,0,4,1,1,1405,4836,6241
553,3,1,7,0,5,1,1,1366,4841,6207
554,3,1,7,0,6,0,1,1448,3392,4840
555,3,1,7,0,0,0,1,1203,3469,4672
556,3,1,7,0,1,1,2,998,5571,6569
557,3,1,7,0,2,1,2,954,5336,6290
558,3,1,7,0,3,1,1,975,6289,7264
559,3,1,7,0,4,1,1,1032,6414,7446
560,3,1,7,0,5,1,2,1511,5988,7499
561,3,1,7,0,6,0,2,2355,4614,6969
562,3,1,7,0,0,0,1,1920,4111,6031
563,3,1,7,0,1,1,1,1088,5742,6830
564,3,1,7,0,2,1,1,921,5865,6786
565,3,1,7,0,3,1,1,799,4914,5713
566,3,1,7,0,4,1,1,888,5703,6591
567,3,1,7,0,5,1,2,747,5123,5870
568,3,1,7,0,6,0,3,1264,3195,4459
569,3,1,7,0,0,0,2,2544,4866,7410
570,3,1,7,0,1,1,1,1135,5831,6966
571,3,1,7,0,2,1,1,1140,6452,7592
572,3,1,7,0,3,1,1,1383,6790,8173
573,3,1,7,0,4,1,1,1036,5825,6861
574,3,1,7,0,5,1,1,1259,5645,6904
575,3,1,7,0,6,0,1,2234,4451,6685
